[2025-12-09 10:03:30.024] [ml-detector] [info] [DUAL-SCORE] event=12410856393451_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:37.274] [ml-detector] [info] [DUAL-SCORE] event=ransomware-features-1765274617270314254, fast=0.7000, ml=0.1454, final=0.7000, source=DETECTOR_SOURCE_DIVERGENCE, div=0.5546
[2025-12-09 10:03:40.049] [ml-detector] [info] [DUAL-SCORE] event=12415869931538_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:40.053] [ml-detector] [info] [DUAL-SCORE] event=12415870283294_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:40.054] [ml-detector] [info] [DUAL-SCORE] event=12420882982337_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:40.055] [ml-detector] [info] [DUAL-SCORE] event=12420883420614_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:50.070] [ml-detector] [info] [DUAL-SCORE] event=12425896102340_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:50.070] [ml-detector] [info] [DUAL-SCORE] event=12425896188153_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:50.074] [ml-detector] [info] [DUAL-SCORE] event=12430909451579_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:50.077] [ml-detector] [info] [DUAL-SCORE] event=12430909598567_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:05.110] [ml-detector] [info] [DUAL-SCORE] event=12431550497529_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:04:05.111] [ml-detector] [info] [DUAL-SCORE] event=12435922271833_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:05.114] [ml-detector] [info] [DUAL-SCORE] event=12440935433258_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:05.115] [ml-detector] [info] [DUAL-SCORE] event=12445948790170_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:07.274] [ml-detector] [info] [DUAL-SCORE] event=ransomware-features-1765274647271725988, fast=0.7000, ml=0.1454, final=0.7000, source=DETECTOR_SOURCE_DIVERGENCE, div=0.5546
[2025-12-09 10:04:20.151] [ml-detector] [info] [DUAL-SCORE] event=12450961708338_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:20.153] [ml-detector] [info] [DUAL-SCORE] event=12455975085943_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:20.155] [ml-detector] [info] [DUAL-SCORE] event=12455975472337_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:20.160] [ml-detector] [info] [DUAL-SCORE] event=12460988571804_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:25.163] [ml-detector] [info] [DUAL-SCORE] event=12460988728304_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:25.164] [ml-detector] [info] [DUAL-SCORE] event=12461551921836_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:04:25.165] [ml-detector] [info] [DUAL-SCORE] event=12466001159875_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:25.166] [ml-detector] [info] [DUAL-SCORE] event=12466001380827_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:35.189] [ml-detector] [info] [DUAL-SCORE] event=12467147071617_547895546, fast=0.0000, ml=0.0716, final=0.0716, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0716
[2025-12-09 10:04:35.191] [ml-detector] [info] [DUAL-SCORE] event=12471014314921_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:35.193] [ml-detector] [info] [DUAL-SCORE] event=12471014546679_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:35.196] [ml-detector] [info] [DUAL-SCORE] event=12476028702443_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:37.275] [ml-detector] [info] [DUAL-SCORE] event=ransomware-features-1765274677272948098, fast=0.7000, ml=0.1454, final=0.7000, source=DETECTOR_SOURCE_DIVERGENCE, div=0.5546
[2025-12-09 10:04:50.719] [ml-detector] [info] [DUAL-SCORE] event=12481040606151_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:50.720] [ml-detector] [info] [DUAL-SCORE] event=12486053768630_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:50.722] [ml-detector] [info] [DUAL-SCORE] event=12491066953913_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:04:50.723] [ml-detector] [info] [DUAL-SCORE] event=12491552781011_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:04:55.247] [ml-detector] [info] [DUAL-SCORE] event=12491805940227_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
